Stock,Ticker,Sector,Recommendation,Total_Return,Buy_Hold_Return,Excess_Return,Win_Rate,Total_Trades,Sharpe_Ratio,Max_Drawdown,Final_Value
ConocoPhillips,COP,Energy,BUY,0.015238138698578041,2.5249395015434266,-2.5097013628448486,0,1,0.29304673061769154,0.14275307848324503,10152.38138698578
Morgan Stanley,MS,Financials,BUY,0.0950519671386719,10.882988048587036,-10.787936081448365,0,1,1.3407158934088992,0.0914220270996093,10950.519671386719
Caterpillar,CAT,Industrials,BUY,0.23537325122070324,16.438268762817383,-16.20289551159668,0,1,2.1860689223026206,0.08125930827957908,12353.732512207032
BlackRock,BLK,Financials,BUY,-0.04775275381469728,2.8549812478027343,-2.9027340016174317,0,1,-0.7576878955975735,0.08104364928082936,9522.472461853027
Qualcomm,QCOM,Semiconductors,BUY,0.1647375813873292,3.843535600390625,-3.678798019003296,0,1,1.113286325556798,0.16522962528470356,11647.375813873292
Standard Chartered,STAN.L,Banking,BUY,0.030730052392578183,2.6611352,-2.630405147607422,0,1,0.6252856883071013,0.07591083046401335,10307.300523925782
Northrop Grumman,NOC,Defence,HOLD,0.0,1.697461831414795,-1.697461831414795,0,0,0.0,0.0,10000.0
PepsiCo,PEP,Consumer Staples,HOLD,0.0,0.8644816439514161,-0.8644816439514161,0,0,0.0,0.0,10000.0
Johnson & Johnson,JNJ,Pharma,HOLD,0.0,1.8493398489746091,-1.8493398489746091,0,0,0.0,0.0,10000.0
AstraZeneca,AZN.L,Pharma,HOLD,0.0,1.8607364000000002,-1.8607364000000002,0,0,0.0,0.0,10000.0
Barclays,BARC.L,Banking,HOLD,0.0,2.97947663511963,-2.97947663511963,0,0,0.0,0.0,10000.0
BAE Systems,BA.L,Defence,HOLD,0.0,2.7930032,-2.7930032,0,0,0.0,0.0,10000.0
HSBC,HSBA.L,Banking,HOLD,0.0,2.1265902263427736,-2.1265902263427736,0,0,0.0,0.0,10000.0
NatWest Group,NWG.L,Banking,HOLD,0.0,2.4754412092651363,-2.4754412092651363,0,0,0.0,0.0,10000.0
Rolls-Royce,RR.L,Defence,HOLD,0.0,5.181092505371094,-5.181092505371094,0,0,0.0,0.0,10000.0
Lloyds Banking,LLOY.L,Banking,HOLD,0.0,1.1381796202453618,-1.1381796202453618,0,0,0.0,0.0,10000.0
Plug Power,PLUG,Meme/Speculative,HOLD,0.0,0.5455668627879144,-0.5455668627879144,0,0,0.0,0.0,10000.0
Marathon Digital,MARA,Meme/Speculative,SELL,0.0,-0.641221138941288,0.641221138941288,0,0,0.0,0.0,10000.0
GSK,GSK.L,Pharma,SELL,0.0,0.1886102000000001,-0.1886102000000001,0,0,0.0,0.0,10000.0
