ticker,news_count,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_neutral,date
NOC,0,0.0,0.0,0.0,1.0,2026-01-05
AAPL,0,0.0,0.0,0.0,1.0,2026-01-05
JNJ,0,0.0,0.0,0.0,1.0,2026-01-05
MSFT,0,0.0,0.0,0.0,1.0,2026-01-05
AMC,0,0.0,0.0,0.0,1.0,2026-01-05
AMZN,0,0.0,0.0,0.0,1.0,2026-01-05
PFE,0,0.0,0.0,0.0,1.0,2026-01-05
GOOGL,0,0.0,0.0,0.0,1.0,2026-01-05
NVDA,0,0.0,0.0,0.0,1.0,2026-01-05
RTX,0,0.0,0.0,0.0,1.0,2026-01-05
MARA,0,0.0,0.0,0.0,1.0,2026-01-05
LMT,0,0.0,0.0,0.0,1.0,2026-01-05
BB,0,0.0,0.0,0.0,1.0,2026-01-05
GME,0,0.0,0.0,0.0,1.0,2026-01-05
PLUG,0,0.0,0.0,0.0,1.0,2026-01-05
BARC.L,0,0.0,0.0,0.0,1.0,2026-01-05
LLOY.L,0,0.0,0.0,0.0,1.0,2026-01-05
BA.L,0,0.0,0.0,0.0,1.0,2026-01-05
AZN.L,0,0.0,0.0,0.0,1.0,2026-01-05
RR.L,0,0.0,0.0,0.0,1.0,2026-01-05
HSBA.L,0,0.0,0.0,0.0,1.0,2026-01-05
STAN.L,0,0.0,0.0,0.0,1.0,2026-01-05
GSK.L,0,0.0,0.0,0.0,1.0,2026-01-05
NWG.L,0,0.0,0.0,0.0,1.0,2026-01-05
RIOT,0,0.0,0.0,0.0,1.0,2026-01-05
SPCE,0,0.0,0.0,0.0,1.0,2026-01-05
TLRY,0,0.0,0.0,0.0,1.0,2026-01-05
NIO,0,0.0,0.0,0.0,1.0,2026-01-05
MRNA,0,0.0,0.0,0.0,1.0,2026-01-05
LCID,0,0.0,0.0,0.0,1.0,2026-01-05
PLTR,0,0.0,0.0,0.0,1.0,2026-01-05
SOFI,0,0.0,0.0,0.0,1.0,2026-01-05
COIN,0,0.0,0.0,0.0,1.0,2026-01-05
HOOD,0,0.0,0.0,0.0,1.0,2026-01-05
RIVN,0,0.0,0.0,0.0,1.0,2026-01-05
