Ticker,Earnings_Date,Days_Until,Warning
COP,2026-11-05,72,False
MS,2026-10-14,50,False
CAT,2026-10-29,65,False
BLK,2026-10-14,50,False
QCOM,2026-10-29,65,False
STAN.L,2026-10-28,64,False
NOC,2026-10-20,56,False
PEP,2026-10-08,44,False
JNJ,2026-10-13,49,False
AZN.L,2026-10-30,66,False
BARC.L,2026-10-22,58,False
BA.L,2026-07-30,-26,False
HSBA.L,2026-10-27,63,False
NWG.L,2026-10-30,66,False
RR.L,2026-07-30,-26,False
LLOY.L,2026-10-29,65,False
PLUG,2026-11-09,76,False
MARA,2026-11-04,71,False
GSK.L,2026-10-28,64,False
