feature,importance,importance_pct,ticker,horizon
OBV_slope,13.677350044250488,13.577207318787938,BARC.L,1d
momentum_20,13.667699813842773,13.567627745369423,BARC.L,1d
SMA_20,10.87339973449707,10.79378695271307,BARC.L,1d
rsi_volume,9.786649703979492,9.714993880933875,BARC.L,1d
day_sin,9.149930000305176,9.082936107112591,BARC.L,1d
mfi_rsi_divergence,7.832300066947937,7.774953587344282,BARC.L,1d
oc_spread,7.035769939422607,6.9842554885105725,BARC.L,1d
ATR_pct,6.9334001541137695,6.8826352335766,BARC.L,1d
position_in_range_10,6.766270160675049,6.716728931349652,BARC.L,1d
price_to_sma_20,6.376490116119385,6.329802775585783,BARC.L,1d
RSI_14,6.143889904022217,6.098905614087394,BARC.L,1d
volume_ratio,2.4944300651550293,2.4761663646288183,BARC.L,1d
log_returns,0.0,0.0,BARC.L,1d
returns,0.0,0.0,BARC.L,1d
SMA_10,0.0,0.0,BARC.L,1d
EMA_10,0.0,0.0,BARC.L,1d
price_to_sma_5,0.0,0.0,BARC.L,1d
SMA_5,0.0,0.0,BARC.L,1d
volatility_10,0.0,0.0,BARC.L,1d
volatility_5,0.0,0.0,BARC.L,1d
sma_cross_10_50,0.0,0.0,BARC.L,1d
sma_cross_5_20,0.0,0.0,BARC.L,1d
price_to_sma_50,0.0,0.0,BARC.L,1d
EMA_50,0.0,0.0,BARC.L,1d
SMA_50,0.0,0.0,BARC.L,1d
EMA_20,0.0,0.0,BARC.L,1d
EMA_5,0.0,0.0,BARC.L,1d
price_to_sma_10,0.0,0.0,BARC.L,1d
MACD_cross,0.0,0.0,BARC.L,1d
BB_upper,0.0,0.0,BARC.L,1d
MACD,0.0,0.0,BARC.L,1d
MACD_signal,0.0,0.0,BARC.L,1d
RSI_overbought,0.0,0.0,BARC.L,1d
volatility_20,0.0,0.0,BARC.L,1d
STOCH_K,0.0,0.0,BARC.L,1d
ATR,0.0,0.0,BARC.L,1d
ADX_strong_trend,0.0,0.0,BARC.L,1d
STOCH_D,0.0,0.0,BARC.L,1d
volume_ma_5,0.0,0.0,BARC.L,1d
volume_ma_10,0.0,0.0,BARC.L,1d
volume_ma_20,0.0,0.0,BARC.L,1d
ADX,0.0,0.0,BARC.L,1d
volume_trend,0.0,0.0,BARC.L,1d
volume_acceleration,0.0,0.0,BARC.L,1d
BB_lower,0.0,0.0,BARC.L,1d
BB_middle,0.0,0.0,BARC.L,1d
BB_width,0.0,0.0,BARC.L,1d
BB_position,0.0,0.0,BARC.L,1d
MACD_hist,0.0,0.0,BARC.L,1d
RSI_oversold,0.0,0.0,BARC.L,1d
MFI,0.0,0.0,BARC.L,1d
OBV_ema,0.0,0.0,BARC.L,1d
OBV,0.0,0.0,BARC.L,1d
volume_zscore,0.0,0.0,BARC.L,1d
volume_spike,0.0,0.0,BARC.L,1d
volume_std_20,0.0,0.0,BARC.L,1d
AD,0.0,0.0,BARC.L,1d
AD_slope,0.0,0.0,BARC.L,1d
momentum_5,0.0,0.0,BARC.L,1d
momentum_1,0.0,0.0,BARC.L,1d
volume_price_trend,0.0,0.0,BARC.L,1d
CMF,0.0,0.0,BARC.L,1d
hl_spread,0.0,0.0,BARC.L,1d
momentum_10,0.0,0.0,BARC.L,1d
VWAP_approx,0.0,0.0,BARC.L,1d
price_vs_vwap,0.0,0.0,BARC.L,1d
trend_momentum,0.0,0.0,BARC.L,1d
position_in_range_5,0.0,0.0,BARC.L,1d
volume_volatility,0.0,0.0,BARC.L,1d
volume_momentum,0.0,0.0,BARC.L,1d
obv_price_divergence,0.0,0.0,BARC.L,1d
day_cos,0.0,0.0,BARC.L,1d
month_sin,0.0,0.0,BARC.L,1d
month_cos,0.0,0.0,BARC.L,1d
sentiment_compound,0.0,0.0,BARC.L,1d
sentiment_positive,0.0,0.0,BARC.L,1d
sentiment_negative,0.0,0.0,BARC.L,1d
news_volume,0.0,0.0,BARC.L,1d
sentiment_change_1d,0.0,0.0,BARC.L,1d
sentiment_trend,0.0,0.0,BARC.L,1d
sentiment_rsi,0.0,0.0,BARC.L,1d
sentiment_momentum,0.0,0.0,BARC.L,1d
oc_spread,15.695169448852539,15.85454560167655,NWG.L,1d
price_to_sma_20,15.428940296173096,15.585613032620374,NWG.L,1d
AD_slope,13.407180309295654,13.543323141322844,NWG.L,1d
BB_lower,8.360210418701172,8.445103938180138,NWG.L,1d
volume_ma_10,8.286330223083496,8.370473528212385,NWG.L,1d
price_to_sma_50,7.5803399085998535,7.657314255112518,NWG.L,1d
trend_momentum,6.537179946899414,6.603561555180253,NWG.L,1d
price_to_sma_5,6.493370056152344,6.559306798140679,NWG.L,1d
CMF,6.258820056915283,6.322375067591632,NWG.L,1d
rsi_volume,5.956089973449707,6.016570920083353,NWG.L,1d
volume_ma_5,4.9911298751831055,5.041812161879274,NWG.L,1d
returns,0.0,0.0,NWG.L,1d
log_returns,0.0,0.0,NWG.L,1d
SMA_5,0.0,0.0,NWG.L,1d
EMA_10,0.0,0.0,NWG.L,1d
price_to_sma_10,0.0,0.0,NWG.L,1d
EMA_5,0.0,0.0,NWG.L,1d
SMA_10,0.0,0.0,NWG.L,1d
volatility_10,0.0,0.0,NWG.L,1d
volatility_5,0.0,0.0,NWG.L,1d
sma_cross_10_50,0.0,0.0,NWG.L,1d
sma_cross_5_20,0.0,0.0,NWG.L,1d
