Stock,Ticker,Sector,Latest_Price,Latest_Date,d1_Direction,d1_Prob_Up,d1_Confidence,d1_Threshold,d1_Accuracy,d5_Direction,d5_Prob_Up,d5_Confidence,d5_Threshold,d5_Accuracy,d21_Direction,d21_Prob_Up,d21_Confidence,d21_Threshold,d21_Accuracy,score
Palantir Technologies,PLTR,Meme/Speculative,177.07000732421875,2026-01-15,UP ↑,0.536257600411231,0.0725152008224621,0.5,0.5515873015873016,UP ↑,0.6039310875583606,0.2078621751167211,0.5,0.6190476190476191,UP ↑,0.7357652039187609,0.4715304078375217,0.5,0.7142857142857143,0.6224115033036375
JPMorgan Chase,JPM,Financials,309.260009765625,2026-01-15,UP ↑,0.5236346176993751,0.0472692353987502,0.5,0.5685071574642127,UP ↑,0.560894665332816,0.1217893306656319,0.5,0.6584867075664622,UP ↑,0.6187340520362241,0.2374681040724482,0.5,0.7055214723926381,0.555698508931346
NVIDIA,NVDA,Technology,187.0500030517578,2026-01-15,UP ↑,0.5544785031554994,0.1089570063109988,0.5,0.5460122699386503,UP ↑,0.5893627365849191,0.1787254731698382,0.5,0.6094069529652352,UP ↑,0.6809815950920245,0.361963190184049,0.5,0.6339468302658486,0.5474437627811861
Walmart,WMT,Consumer Staples,119.1999969482422,2026-01-15,UP ↑,0.5079823115323617,0.0159646230647234,0.5,0.558282208588957,UP ↑,0.5613199007515267,0.1226398015030534,0.5,0.6359918200408998,UP ↑,0.5867265976672204,0.1734531953344407,0.5,0.7321063394683026,0.5452874923426635
Alphabet,GOOGL,Technology,332.7799987792969,2026-01-15,UP ↑,0.5284938666959852,0.0569877333919703,0.5,0.5685071574642127,UP ↑,0.5354637382615963,0.0709274765231926,0.5,0.5869120654396728,UP ↑,0.6301553703199876,0.2603107406399751,0.5,0.6952965235173824,0.5431238970386183
Standard Chartered,STAN.L,Banking,1859.0,2026-01-16,UP ↑,0.5302715931877797,0.0605431863755594,0.5,0.4979674796747967,UP ↑,0.5275911800151529,0.0551823600303058,0.5,0.6321138211382114,UP ↑,0.5290037738323373,0.0580075476646746,0.5,0.7947154471544715,0.5411827521042805
Broadcom,AVGO,Semiconductors,343.0199890136719,2026-01-15,UP ↑,0.5383601232949042,0.0767202465898084,0.5,0.5521472392638037,UP ↑,0.5789178303211302,0.1578356606422604,0.5,0.5501022494887525,UP ↑,0.6696915389188037,0.3393830778376074,0.5,0.656441717791411,0.5400562321447382
Tilray Brands,TLRY,Meme/Speculative,9.710000038146973,2026-01-15,DOWN ↓,0.4126083238181698,0.1747833523636602,0.5,0.5966850828729282,DOWN ↓,0.4346918245442229,0.1306163509115542,0.5,0.6243093922651933,DOWN ↓,0.3748022360252137,0.2503955279495725,0.5,0.6657458563535912,0.532853465014706
Taiwan Semiconductor,TSM,Semiconductors,341.6400146484375,2026-01-15,UP ↑,0.5062034847468859,0.0124069694937718,0.5,0.5194274028629857,UP ↑,0.5223176158618975,0.044635231723795,0.5,0.5991820040899796,UP ↑,0.5814521162245604,0.1629042324491207,0.5,0.7034764826175869,0.5204459118615256
Bank of America,BAC,Financials,52.59000015258789,2026-01-15,UP ↑,0.5193301122613225,0.038660224522645,0.5,0.5521472392638037,UP ↑,0.5350468211403663,0.0700936422807325,0.5,0.623721881390593,UP ↑,0.5758404523369247,0.1516809046738494,0.5,0.6993865030674846,0.5199418992140157
Raytheon Technologies,RTX,Defence,199.8300018310547,2026-01-15,UP ↑,0.5231684938111568,0.0463369876223136,0.5,0.5112474437627812,UP ↑,0.5203086436618901,0.0406172873237802,0.5,0.591002044989775,UP ↑,0.5433471383046584,0.0866942766093168,0.5,0.7484662576687117,0.5184418208151059
Caterpillar,CAT,Industrials,647.1799926757812,2026-01-15,UP ↑,0.5114780316037832,0.0229560632075664,0.5,0.5460122699386503,UP ↑,0.5443689671711048,0.0887379343422096,0.5,0.5950920245398773,UP ↑,0.6106261877498598,0.2212523754997195,0.5,0.6625766871165644,0.5166824611161734
AMC Entertainment,AMC,Meme/Speculative,1.600000023841858,2026-01-15,DOWN ↓,0.4766295580191907,0.0467408839616184,0.5,0.5828220858895705,DOWN ↓,0.4359441741233035,0.1281116517533929,0.5,0.6053169734151329,DOWN ↓,0.3767989999858961,0.2464020000282076,0.5,0.6421267893660532,0.5160473893745154
Pfizer,PFE,Pharma,25.88999938964844,2026-01-15,UP ↑,0.5071606684563076,0.0143213369126151,0.5,0.4907975460122699,UP ↑,0.5080663014154938,0.0161326028309876,0.5,0.4989775051124744,UP ↑,0.7003205359573901,0.4006410719147801,0.5,0.5869120654396728,0.5134438553167653
