Ticker,Stock,Sector,Current_Price,Volatility_Daily,Volatility_Annual,ATR,ATR_Pct,Max_Drawdown,Price_Change_30d,Beta,Risk_Score
GE,General Electric,Industrials,282.8099975585937,0.02259242841569105,0.358643682605685,10.038569859095977,3.5495809715907045,-0.81191404376679,-0.09481936958346615,1.0,45.96975962834771
OXY,Occidental Petroleum,Energy,65.31999969482422,0.030558386329970513,0.4850993441792265,2.0328565325055807,3.1121502480145584,-0.8838876726210756,0.44273766893239697,1.0,50.20532867208539
AMZN,Amazon,Technology,199.33999633789065,0.02046689776027937,0.32490192949610447,5.178569248744419,2.597857602027092,-0.5614526325328257,-0.0013026540965640487,1.0,34.39042159845625
GOOGL,Alphabet,Technology,274.3399963378906,0.01813369766822002,0.2878635262808522,6.984289986746644,2.545851891805251,-0.4432005006509701,-0.11154328111483192,1.0,29.640049188482177
BAC,Bank of America,Financials,46.970001220703125,0.01938425943698399,0.30771557891649937,1.1578576224190849,2.465100260437575,-0.48946796377556645,-0.10061825033861294,1.0,31.316050458139927
PG,Procter & Gamble,Consumer Staples,142.7100067138672,0.011868335553200866,0.1884039861002141,2.7757175990513394,1.945005583677561,-0.23772449222168984,-0.11475714428097372,1.0,18.73979446955576
COP,ConocoPhillips,Energy,133.8000030517578,0.023725427895854696,0.37662949176615584,3.145000457763671,2.350523457422562,-0.706610286627518,0.21664939012249707,1.0,39.375657698939804
MSFT,Microsoft,Technology,356.7699890136719,0.01692632155860427,0.2686970247310686,7.712855747767853,2.1618566542244357,-0.37148482170464303,-0.11013261496264093,1.0,25.695634156890236
SLB,Schlumberger,Energy,53.5,0.025407778607772345,0.4033359813765153,1.9914283752441406,3.7222960284937203,-0.8428505651332688,0.05647710594041189,1.0,48.704430724956815
INTC,Intel,Semiconductors,43.130001068115234,0.02626032682386565,0.4168697647393631,2.4292858668736046,5.632473467916293,-0.7079731977861454,-0.07207397820813133,1.0,51.28621427437712
AAPL,Apple,Technology,248.8000030517578,0.018220292784507767,0.2892381811355528,5.079999651227679,2.0418004778604795,-0.3851590945382228,-0.049402083795601626,1.0,26.282672561557902
NOC,Northrop Grumman,Defence,679.0,0.01585686531789587,0.2517199332251858,16.447139195033483,2.422259086161043,-0.3638408808398637,-0.01997717131302479,1.0,25.848472168462422
AMD,Advanced Micro Devices,Semiconductors,201.9900054931641,0.03691414759441845,0.5859939263685866,8.468573434012281,4.192570525128721,-0.6544994295506877,-0.019180328743397035,1.0,49.65100123767788
NVDA,NVIDIA,Technology,167.52000427246094,0.031375484155241266,0.4980703700340952,5.041412675970469,3.009439199733378,-0.6633508997566226,-0.10383509037121907,1.0,43.602276044079126
COST,Costco,Consumer Staples,983.8599853515624,0.013795003131376486,0.21898888572587683,15.17500523158483,1.5423947977884627,-0.3140242711736944,-0.015017119736476903,1.0,20.561116616824627
WMT,Walmart,Consumer Staples,122.88999938964844,0.013668258574743486,0.21697687826458448,2.5976094392039806,2.113767964932376,-0.2573967234346598,-0.07855274417001812,1.0,20.676109479905627
JNJ,Johnson & Johnson,Pharma,240.4499969482422,0.011544836828139627,0.18326860304446313,3.992139543805812,1.6602784755556206,-0.2736625298420557,-0.011538520164151578,1.0,18.74422825983964
MS,Morgan Stanley,Financials,158.38999938964844,0.0198328508288344,0.3148367464952224,4.818569728306362,3.042218414593465,-0.5132583592000299,-0.05753896411651371,1.0,34.11932197660992
KO,Coca-Cola,Consumer Staples,75.70999908447266,0.011429516082774274,0.18143794296500318,1.2174092214718146,1.6079900095012585,-0.36987531897039977,-0.03505599390741476,1.0,21.412910268472736
BLK,BlackRock,Financials,933.8499755859376,0.017395655183334777,0.27614746504881316,25.608572823660715,2.742257695899472,-0.4390168871432974,-0.1104375718399575,1.0,29.83303885622464
CVX,Chevron,Energy,211.1499938964844,0.018254314408660318,0.2897782576757897,4.423573085239959,2.0949908657864333,-0.5577394010758143,0.16894485985468966,1.0,31.657218973458324
QCOM,Qualcomm,Semiconductors,127.11000061035156,0.02352756006907525,0.3734884373934405,3.955711909702845,3.1120383059621357,-0.4428842439590444,-0.07614575687948755,1.0,33.85996747101812
GS,Goldman Sachs,Financials,802.8900146484375,0.018689838148783864,0.29669198271437947,24.93357195172991,3.105477898196007,-0.4874879340842137,-0.10771608813421218,1.0,33.049191466711605
