ticker,news_count,sentiment_score,sentiment_label,positive_ratio,negative_ratio,avg_compound,latest_sentiment
HSBA.L,9,0.3928,POSITIVE,0.6667,0.2222,0.3928,0.7003
STAN.L,10,0.198,POSITIVE,0.6,0.0,0.198,0.0
BA.L,10,0.5948,POSITIVE,0.9,0.0,0.5948,0.0772
BARC.L,10,0.6932,POSITIVE,1.0,0.0,0.6932,0.7003
RR.L,9,0.2215,POSITIVE,0.5556,0.2222,0.2215,0.7184
AZN.L,10,0.5741,POSITIVE,0.9,0.1,0.5741,-0.128
LLOY.L,2,0.642,POSITIVE,1.0,0.0,0.642,0.3818
GSK.L,9,0.4754,POSITIVE,0.6667,0.1111,0.4754,0.9559
NWG.L,2,0.1224,POSITIVE,0.5,0.5,0.1224,-0.6705
COP,10,0.0736,POSITIVE,0.6,0.3,0.0736,0.3818
AMC,10,0.6043,POSITIVE,0.9,0.1,0.6043,0.7964
PG,10,-0.2527,NEGATIVE,0.3,0.6,-0.2527,-0.5859
SLB,10,0.3834,POSITIVE,0.7,0.0,0.3834,0.5106
MS,8,0.1309,POSITIVE,0.625,0.375,0.1309,-0.9477
GME,10,0.3028,POSITIVE,0.5,0.3,0.3028,0.8957
MSFT,10,0.2074,POSITIVE,0.8,0.2,0.2074,0.296
GOOGL,10,0.2042,POSITIVE,0.6,0.3,0.2042,-0.2732
MMM,10,0.4085,POSITIVE,0.8,0.2,0.4085,0.3182
RTX,10,0.2478,POSITIVE,0.6,0.2,0.2478,0.5574
HON,10,0.0845,POSITIVE,0.4,0.4,0.0845,0.7184
JPM,10,-0.1407,NEGATIVE,0.3,0.7,-0.1407,-0.7184
MARA,9,0.3771,POSITIVE,0.7778,0.2222,0.3771,-0.3182
JNJ,10,0.0529,POSITIVE,0.4,0.5,0.0529,-0.4767
INTC,10,0.0404,NEUTRAL,0.5,0.4,0.0404,0.7184
TSM,10,0.3273,POSITIVE,0.7,0.2,0.3273,-0.2263
QCOM,10,0.5474,POSITIVE,0.8,0.0,0.5474,-0.0
CAT,10,0.4898,POSITIVE,0.8,0.2,0.4898,0.7184
AVGO,10,0.4457,POSITIVE,0.7,0.1,0.4457,0.8658
BB,10,0.2979,POSITIVE,0.5,0.2,0.2979,0.7506
CVX,10,-0.2013,NEGATIVE,0.4,0.6,-0.2013,0.3818
PEP,8,0.4023,POSITIVE,0.875,0.125,0.4023,0.8126
LMT,10,-0.027,NEUTRAL,0.6,0.4,-0.027,0.6249
XOM,10,0.1693,POSITIVE,0.7,0.2,0.1693,0.6486
AMD,10,0.1423,POSITIVE,0.6,0.2,0.1423,0.7003
AAPL,8,0.1404,POSITIVE,0.5,0.375,0.1404,0.9787
