Stock,Ticker,Sector,Latest_Price,Latest_Date,Score,Recommendation,Strength,Signal,Consensus,d1_Direction,d1_Prob_Up,d1_Confidence,d1_Accuracy,d5_Direction,d5_Prob_Up,d5_Confidence,d5_Accuracy,d21_Direction,d21_Prob_Up,d21_Confidence,d21_Accuracy,Avg_Confidence
Palantir Technologies,PLTR,Meme/Speculative,167.86,2026-01-02,0.2958,BUY,Strong,🟢,2/3 UP,DOWN ↓,0.4731,0.0539,0.4502,UP ↑,0.5561,0.1121,0.6135,UP ↑,0.7703,0.5405,0.7251,0.2355
Pfizer,PFE,Pharma,25.18,2026-01-02,0.2683,BUY,Strong,🟢,3/3 UP,UP ↑,0.5192,0.0385,0.5194,UP ↑,0.6867,0.3734,0.589,UP ↑,0.6893,0.3786,0.6667,0.2635
NVIDIA,NVDA,Technology,188.85,2026-01-02,0.2504,BUY,Strong,🟢,3/3 UP,UP ↑,0.5575,0.115,0.5399,UP ↑,0.5734,0.1467,0.6115,UP ↑,0.7207,0.4414,0.638,0.2344
Microsoft,MSFT,Technology,472.94,2026-01-02,0.1609,BUY,Strong,🟢,3/3 UP,UP ↑,0.5502,0.1005,0.5358,UP ↑,0.5944,0.1887,0.5849,UP ↑,0.6406,0.2813,0.5583,0.1902
Apple,AAPL,Technology,271.01,2026-01-02,0.1472,BUY,Moderate,🟡,3/3 UP,UP ↑,0.5433,0.0866,0.546,UP ↑,0.5674,0.1349,0.5562,UP ↑,0.642,0.2841,0.636,0.1685
Alphabet,GOOGL,Technology,315.15,2026-01-02,0.1038,BUY,Moderate,🟡,3/3 UP,UP ↑,0.5735,0.147,0.5562,UP ↑,0.5485,0.0971,0.5869,UP ↑,0.5971,0.1942,0.6994,0.1461
Amazon,AMZN,Technology,226.5,2026-01-02,0.1029,BUY,Moderate,🟡,3/3 UP,UP ↑,0.5055,0.011,0.5235,UP ↑,0.535,0.07,0.5583,UP ↑,0.621,0.242,0.6544,0.1077
Northrop Grumman,NOC,Defence,585.66,2026-01-02,0.0837,BUY,Moderate,🟡,3/3 UP,UP ↑,0.5479,0.0958,0.5501,UP ↑,0.5583,0.1166,0.5583,UP ↑,0.5774,0.1548,0.5685,0.1224
Lockheed Martin,LMT,Defence,497.07,2026-01-02,0.0797,BUY,Moderate,🟡,3/3 UP,UP ↑,0.5465,0.093,0.5337,UP ↑,0.5619,0.1238,0.5746,UP ↑,0.5709,0.1417,0.5583,0.1195
BAE Systems,BA.L,Defence,1834.0,2026-01-05,0.0612,BUY,Moderate,🟡,3/3 UP,UP ↑,0.5306,0.0613,0.5549,UP ↑,0.537,0.074,0.5285,UP ↑,0.5658,0.1317,0.5813,0.089
