Ticker,Tier,Avg_Accuracy,Position_Size,Latest_Signal_1d,Latest_Signal_21d,Confidence_21d
TLRY,GOOD,63.250230840258546,MEDIUM (50-75%),DOWN ↓,DOWN ↓,0.2239309670991909
RTX,GOOD,62.98568507157464,MEDIUM (50-75%),UP ↑,UP ↑,0.0856925643476262
STAN.L,GOOD,61.65311653116532,MEDIUM (50-75%),UP ↑,UP ↑,0.0395241848715492
GOOGL,GOOD,61.41785957736877,MEDIUM (50-75%),UP ↑,UP ↑,0.1942038494332327
NVDA,GOOD,59.64553510565781,MEDIUM (50-75%),UP ↑,UP ↑,0.4413573885476498
PLTR,GOOD,59.62815405046481,MEDIUM (50-75%),DOWN ↓,UP ↑,0.5405028454097827
SPCE,GOOD,59.20398009950248,MEDIUM (50-75%),DOWN ↓,DOWN ↓,0.154362386342983
PFE,GOOD,59.16837082481254,MEDIUM (50-75%),UP ↑,UP ↑,0.3786388476270723
AMC,GOOD,59.10020449897751,MEDIUM (50-75%),DOWN ↓,DOWN ↓,0.218840343661388
PLUG,GOOD,58.82753919563735,MEDIUM (50-75%),DOWN ↓,DOWN ↓,0.2620937101877807
